student_id,register_number,student_name,email,phone,gender,department,course,year,semester,section,academic_year,previous_gpa,previous_percentage,internal_marks,assignment_score,quiz_score,midterm_score,final_exam_score,classes_held,classes_attended,attendance_percentage,study_hours_per_day,assignment_completion_rate,online_learning_hours,library_usage,participation_score,final_score,grade,pass_fail,risk_level
477,EEE20240477,Neelima Bains,neelima.bains18@college.edu,+91-8916502228,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,1,C,2024-2025,7.87,79.63,26.94,20.03,15.37,50.0,63.14,65,55,84.62,6.98,88.98,2.81,1,84.19,83.63,A+,Pass,Low
478,EEE20240478,Rudra Maharaj,rudra.maharaj63@college.edu,+91-7995358283,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,2,4,B,2024-2025,5.39,53.68,15.51,9.87,9.99,22.2,34.19,62,22,35.48,1.33,46.73,2.4,2,75.96,43.75,C,Pass,High
479,CSE20250479,Aayush Bawa,aayush.bawa59@college.edu,+91-7199447370,Male,Computer Science Engineering,B.E. Computer Science Engineering,1,1,C,2025-2026,5.76,59.17,26.85,21.84,14.73,28.4,47.27,61,36,59.02,4.23,58.54,2.44,5,64.22,65.78,B+,Pass,Medium
480,IT20250480,Yadavi Mangat,yadavi.mangat73@college.edu,+91-7746679280,Female,Information Technology,B.E. Information Technology,1,2,C,2025-2026,6.76,65.51,22.31,18.67,13.39,32.36,58.24,72,39,54.17,5.22,66.07,3.5,3,40.38,68.68,B+,Pass,Medium
481,IT20240481,Ishwar Pandey,ishwar.pandey46@college.edu,+91-8481902553,Male,Information Technology,B.E. Information Technology,1,2,B,2024-2025,4.55,43.91,16.43,9.84,9.04,22.24,45.46,75,26,34.67,3.36,32.67,1.87,3,47.2,49.0,C,Pass,High
482,EEE20240482,Imaran Gupta,imaran.gupta66@college.edu,+91-9763712703,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,1,B,2024-2025,6.39,59.9,30.1,16.59,18.19,24.94,54.84,68,41,60.29,5.61,77.73,1.89,1,58.17,68.84,B+,Pass,Low
483,CSE20240483,Ladli Devan,ladli.devan54@college.edu,+91-8418304567,Female,Computer Science Engineering,B.E. Computer Science Engineering,2,4,C,2024-2025,8.52,82.81,34.16,16.67,20.0,40.21,51.48,83,51,61.45,5.13,77.99,2.66,1,74.49,77.88,A,Pass,Low
484,ME20240484,Chasmum Baral,chasmum.baral53@college.edu,+91-7096405016,Female,Mechanical Engineering,B.E. Mechanical Engineering,4,8,A,2024-2025,8.83,79.86,35.66,23.45,8.87,35.17,69.31,67,50,74.63,5.48,79.06,4.7,0,67.67,81.57,A+,Pass,Low
485,EEE20240485,Nilima Sastry,nilima.sastry19@college.edu,+91-7240140248,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,2,3,C,2024-2025,5.63,55.56,18.36,13.78,9.43,25.04,42.11,65,40,61.54,4.98,51.19,2.79,2,58.96,51.58,B,Pass,Medium
486,CSE20250486,Anika Patla,anika.patla28@college.edu,+91-8929313730,Female,Computer Science Engineering,B.E. Computer Science Engineering,4,7,C,2025-2026,8.25,82.71,32.27,13.29,15.94,33.47,69.61,79,56,70.89,6.62,75.16,3.23,5,86.3,78.65,A,Pass,Low
487,CE20250487,Ekaja Chana,ekaja.chana75@college.edu,+91-7781186472,Female,Civil Engineering,B.E. Civil Engineering,4,7,A,2025-2026,7.39,76.49,28.23,19.9,9.78,36.04,42.72,79,67,84.81,5.09,82.98,2.96,3,78.21,64.92,B+,Pass,Low
488,IT20240488,Manbir Narain,manbir.narain50@college.edu,+91-7567851370,Male,Information Technology,B.E. Information Technology,2,4,B,2024-2025,7.41,73.66,34.78,22.5,14.84,33.27,41.64,63,45,71.43,6.76,71.96,2.93,0,62.64,69.87,B+,Pass,Low
489,EEE20240489,Sarthak Gill,sarthak.gill79@college.edu,+91-9576180666,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,7,C,2024-2025,6.22,69.17,23.22,14.43,8.96,31.16,38.4,61,34,55.74,5.83,39.04,1.09,4,65.35,55.37,B,Pass,High
490,EEE20240490,Irya Deo,irya.deo70@college.edu,+91-7005154842,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,1,B,2024-2025,8.19,88.02,31.61,18.48,15.41,35.85,40.57,88,66,75.0,5.47,77.43,3.23,5,75.92,67.76,B+,Pass,Low
491,ME20240491,Rajeshri Wali,rajeshri.wali55@college.edu,+91-7985635941,Female,Mechanical Engineering,B.E. Mechanical Engineering,4,8,B,2024-2025,9.57,94.24,31.86,16.84,17.02,33.83,62.51,90,73,81.11,4.13,84.37,3.56,4,67.17,77.27,A,Pass,Low
492,CE20240492,Zashil Mahajan,zashil.mahajan33@college.edu,+91-9049305985,Male,Civil Engineering,B.E. Civil Engineering,4,8,C,2024-2025,5.53,55.94,33.45,12.87,9.12,30.18,40.81,84,53,63.1,3.98,30.85,2.32,1,67.28,60.57,B+,Pass,Medium
493,CE20250493,Fitan Kurian,fitan.kurian1@college.edu,+91-7030554742,Male,Civil Engineering,B.E. Civil Engineering,1,2,C,2025-2026,9.27,95.34,40.0,22.92,20.0,44.78,64.69,78,78,100.0,6.19,100.0,2.02,3,66.66,91.74,O,Pass,Low
494,EEE20240494,Warda Merchant,warda.merchant41@college.edu,+91-8755976246,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,2,C,2024-2025,5.99,61.86,20.08,14.28,11.18,38.27,43.03,71,44,61.97,3.73,49.02,3.73,1,58.61,60.55,B+,Pass,Medium
495,ECE20250495,Pallavi Contractor,pallavi.contractor79@college.edu,+91-8183523503,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,6,C,2025-2026,8.22,80.81,35.73,21.35,15.84,42.97,65.75,81,75,92.59,7.3,77.91,2.42,2,63.03,86.49,A+,Pass,Low
496,CSE20250496,Vinaya Borra,vinaya.borra62@college.edu,+91-8089966667,Female,Computer Science Engineering,B.E. Computer Science Engineering,4,8,A,2025-2026,9.25,89.2,37.61,20.9,20.0,43.85,53.69,69,61,88.41,6.43,100.0,3.3,3,92.98,84.14,A+,Pass,Low
497,CE20240497,Ekta Kara,ekta.kara58@college.edu,+91-7694904767,Female,Civil Engineering,B.E. Civil Engineering,4,7,C,2024-2025,8.32,84.97,32.64,20.6,16.64,45.11,75.0,63,48,76.19,8.04,80.26,4.71,1,59.69,90.44,O,Pass,Low
498,ECE20250498,Sneha Pau,sneha.pau1@college.edu,+91-7391222487,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,5,A,2025-2026,6.5,59.36,33.41,17.76,10.52,35.31,56.95,86,58,67.44,8.59,80.63,3.0,1,74.24,73.3,A,Pass,Low
499,EEE20250499,Chakradev Rana,chakradev.rana11@college.edu,+91-9615759047,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,7,A,2025-2026,4.52,45.69,15.64,7.91,12.28,32.09,34.6,61,25,40.98,3.04,53.0,1.19,2,51.2,49.31,C,Pass,High
500,ECE20250500,Abhimanyu Lalla,abhimanyu.lalla26@college.edu,+91-9821296252,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,5,A,2025-2026,8.09,79.83,34.96,18.56,14.9,45.68,57.86,89,64,71.91,7.34,56.23,4.38,4,61.1,82.2,A+,Pass,Low
501,IT20240501,Diya Sha,diya.sha87@college.edu,+91-7154881394,Female,Information Technology,B.E. Information Technology,2,3,C,2024-2025,5.31,53.44,19.38,16.52,11.56,26.39,39.43,71,23,32.39,2.96,49.8,1.26,0,37.08,53.67,B,Pass,High
502,AIDS20250502,Qarin Lala,qarin.lala51@college.edu,+91-8741398650,Male,AI & Data Science,B.Tech. AI & Data Science,2,3,B,2025-2026,7.34,69.81,31.26,23.01,18.75,42.74,64.93,78,50,64.1,7.92,86.49,2.27,1,78.23,85.87,A+,Pass,Low
503,AIDS20250503,Sai Prabhu,sai.prabhu72@college.edu,+91-9503675679,Female,AI & Data Science,B.Tech. AI & Data Science,1,1,C,2025-2026,5.88,60.96,34.93,13.87,11.52,31.07,46.89,71,39,54.93,5.86,55.89,2.41,2,72.18,66.19,B+,Pass,Medium
504,CE20240504,Chatura Kaur,chatura.kaur52@college.edu,+91-9469205576,Male,Civil Engineering,B.E. Civil Engineering,3,5,C,2024-2025,8.22,80.92,35.99,17.59,16.11,45.4,64.54,60,60,100.0,5.19,84.21,1.96,2,77.12,85.9,A+,Pass,Low
505,ECE20250505,Warinder Bakshi,warinder.bakshi15@college.edu,+91-9204549513,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,1,1,C,2025-2026,5.26,50.84,17.88,16.25,6.29,33.54,45.54,90,41,45.56,2.43,63.13,2.19,2,49.17,56.61,B,Pass,High
506,EEE20250506,Omisha Kant,omisha.kant97@college.edu,+91-8458831845,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,3,6,B,2025-2026,4.58,47.92,18.9,5.65,7.95,27.43,37.28,90,27,30.0,2.99,41.52,2.18,3,47.46,46.79,C,Pass,High
507,ME20240507,Azad Shetty,azad.shetty49@college.edu,+91-9721556673,Male,Mechanical Engineering,B.E. Mechanical Engineering,4,7,B,2024-2025,7.61,75.79,25.33,21.56,12.13,33.45,50.33,85,48,56.47,7.9,67.04,4.99,5,100.0,67.56,B+,Pass,Medium
508,ME20250508,Matthew Rege,matthew.rege2@college.edu,+91-8131078331,Male,Mechanical Engineering,B.E. Mechanical Engineering,2,4,B,2025-2026,6.78,62.36,26.69,15.58,18.0,30.78,38.59,67,54,80.6,4.38,44.56,3.08,2,50.35,61.98,B+,Pass,Low
509,ECE20240509,Dalbir Dey,dalbir.dey46@college.edu,+91-7938734379,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,5,C,2024-2025,5.62,62.35,20.0,15.41,7.3,32.3,51.03,88,55,62.5,3.41,61.75,2.2,3,67.39,59.78,B,Pass,Medium
510,CSE20240510,Arin Barad,arin.barad31@college.edu,+91-8139907416,Male,Computer Science Engineering,B.E. Computer Science Engineering,2,4,C,2024-2025,6.11,65.28,20.27,16.25,11.63,29.95,43.05,66,47,71.21,2.97,76.1,2.96,1,53.52,57.52,B,Pass,Medium
511,CE20240511,Max Tailor,max.tailor11@college.edu,+91-9902590965,Male,Civil Engineering,B.E. Civil Engineering,2,4,A,2024-2025,4.29,42.5,24.69,11.05,12.76,23.89,52.96,90,48,53.33,3.76,62.83,3.72,3,39.63,59.8,B,Pass,High
512,EEE20250512,Devika Chatterjee,devika.chatterjee64@college.edu,+91-9467541927,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,1,B,2025-2026,7.24,70.49,28.85,24.79,13.66,34.17,62.43,87,85,97.7,5.6,56.83,2.41,2,100.0,77.39,A,Pass,Low
513,CSE20240513,Jacob Yogi,jacob.yogi55@college.edu,+91-9054369077,Male,Computer Science Engineering,B.E. Computer Science Engineering,3,6,A,2024-2025,7.86,81.72,33.29,18.24,11.71,48.49,54.96,90,85,94.44,5.43,93.01,2.67,3,77.16,79.69,A,Pass,Low
514,EEE20240514,Ekansh Rama,ekansh.rama16@college.edu,+91-9998937576,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,3,6,C,2024-2025,7.39,72.41,36.23,23.85,19.82,42.44,53.18,76,57,75.0,8.11,92.13,2.65,2,81.16,83.6,A+,Pass,Low
515,ME20240515,Utkarsh Prabhakar,utkarsh.prabhakar13@college.edu,+91-8397737837,Male,Mechanical Engineering,B.E. Mechanical Engineering,1,1,C,2024-2025,8.16,82.81,24.95,17.88,8.99,35.26,55.63,71,50,70.42,5.55,57.65,2.88,3,66.81,67.72,B+,Pass,Low
516,IT20250516,Shaurya Dubey,shaurya.dubey79@college.edu,+91-8473588088,Male,Information Technology,B.E. Information Technology,2,4,A,2025-2026,7.04,70.19,32.94,12.63,11.4,38.68,63.96,71,43,60.56,5.21,74.22,2.45,1,53.8,76.41,A,Pass,Low
517,ECE20250517,Sarthak Chaudhary,sarthak.chaudhary52@college.edu,+91-8200999709,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,2,4,C,2025-2026,7.71,74.8,28.27,21.86,19.75,38.27,50.67,74,48,64.86,5.49,73.75,4.05,1,62.51,75.53,A,Pass,Low
518,CSE20250518,Wishi Reddy,wishi.reddy72@college.edu,+91-8856365377,Female,Computer Science Engineering,B.E. Computer Science Engineering,2,3,C,2025-2026,8.61,88.0,37.0,19.27,20.0,31.22,56.69,87,65,74.71,6.48,100.0,2.78,2,79.32,78.27,A,Pass,Low
519,CSE20240519,Logan Bali,logan.bali18@college.edu,+91-9708629635,Male,Computer Science Engineering,B.E. Computer Science Engineering,2,4,A,2024-2025,4.32,46.58,24.31,21.08,10.42,33.14,33.82,76,38,50.0,1.37,66.97,1.95,3,41.3,58.15,B,Pass,High
520,IT20240520,Qasim Kalla,qasim.kalla89@college.edu,+91-7701548051,Male,Information Technology,B.E. Information Technology,4,8,B,2024-2025,4.41,42.74,21.86,12.89,6.76,33.56,32.09,61,25,40.98,2.99,51.58,1.95,1,73.81,51.22,B,Pass,High
521,IT20250521,Tristan Saxena,tristan.saxena47@college.edu,+91-9406685070,Male,Information Technology,B.E. Information Technology,4,7,B,2025-2026,4.49,44.07,36.15,17.69,11.18,28.83,43.8,77,47,61.04,6.35,48.59,2.78,5,31.23,65.6,B+,Pass,High
522,IT20240522,Jacob Patil,jacob.patil87@college.edu,+91-9600929253,Male,Information Technology,B.E. Information Technology,3,5,B,2024-2025,8.21,84.61,38.13,22.09,12.93,35.55,70.14,66,55,83.33,5.91,100.0,4.56,3,87.88,84.88,A+,Pass,Low
523,ME20250523,Chavvi Pillai,chavvi.pillai63@college.edu,+91-8919550221,Female,Mechanical Engineering,B.E. Mechanical Engineering,2,4,B,2025-2026,8.78,89.61,29.67,20.15,16.43,41.87,64.11,88,64,72.73,7.2,95.25,5.06,0,82.06,81.97,A+,Pass,Low
524,EEE20240524,Rachita Bhat,rachita.bhat82@college.edu,+91-8449071761,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,3,6,C,2024-2025,6.5,65.29,28.52,18.08,5.18,27.7,42.39,73,48,65.75,5.43,73.05,2.45,3,73.66,57.72,B,Pass,Low
525,EEE20240525,Rushil Majumdar,rushil.majumdar41@college.edu,+91-8360981688,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,7,A,2024-2025,4.94,49.86,24.43,12.03,15.79,20.76,30.51,80,47,58.75,4.07,57.54,3.28,2,58.9,49.54,C,Pass,High
526,IT20250526,Ikshita Das,ikshita.das67@college.edu,+91-8933975047,Female,Information Technology,B.E. Information Technology,4,8,B,2025-2026,8.97,84.67,34.62,24.38,17.51,41.98,43.59,73,73,100.0,6.99,71.68,2.04,1,90.81,77.15,A,Pass,Low
527,CE20240527,Vasana Chand,vasana.chand96@college.edu,+91-7343875431,Female,Civil Engineering,B.E. Civil Engineering,1,1,C,2024-2025,7.19,68.65,35.58,18.21,13.82,31.19,33.49,66,50,75.76,5.53,66.7,2.11,1,36.77,63.21,B+,Pass,Low
528,AIDS20240528,Hitesh Bail,hitesh.bail51@college.edu,+91-9250488948,Male,AI & Data Science,B.Tech. AI & Data Science,1,1,B,2024-2025,9.0,91.44,40.0,25.0,20.0,33.49,75.0,84,73,86.9,7.2,92.75,2.03,5,93.44,91.74,O,Pass,Low
529,AIDS20250529,Aryan Nath,aryan.nath32@college.edu,+91-8220523522,Male,AI & Data Science,B.Tech. AI & Data Science,3,5,A,2025-2026,8.45,86.8,26.68,21.58,20.0,35.23,49.49,74,55,74.32,3.72,88.88,3.58,3,69.02,72.68,A,Pass,Low
530,CSE20250530,Keya Dass,keya.dass42@college.edu,+91-9045069031,Female,Computer Science Engineering,B.E. Computer Science Engineering,2,3,A,2025-2026,6.19,67.96,28.51,16.44,14.93,27.11,40.39,74,48,64.86,3.23,80.38,3.53,5,61.64,60.7,B+,Pass,Low
531,EEE20240531,Ishanvi Biswas,ishanvi.biswas59@college.edu,+91-9710328466,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,3,6,A,2024-2025,7.48,72.64,29.16,24.2,17.58,35.12,53.01,83,61,73.49,3.75,74.63,2.83,3,74.5,75.35,A,Pass,Low
532,EEE20250532,Hemang Kalita,hemang.kalita12@college.edu,+91-8897775581,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,8,B,2025-2026,9.46,91.35,39.24,24.27,17.61,39.55,52.08,69,68,98.55,5.34,88.73,2.93,2,81.99,82.22,A+,Pass,Low
533,IT20240533,Jackson Narasimhan,jackson.narasimhan98@college.edu,+91-7585405992,Male,Information Technology,B.E. Information Technology,2,4,A,2024-2025,6.89,71.07,25.18,18.95,19.01,28.82,36.53,71,46,64.79,5.62,59.1,2.28,2,66.14,61.13,B+,Pass,Low
534,EEE20250534,Ethan Agate,ethan.agate56@college.edu,+91-8258093032,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,2,B,2025-2026,2.94,24.56,17.13,8.26,3.08,16.32,15.14,79,24,30.38,2.05,20.0,0.0,0,27.54,28.63,F,Fail,High
535,AIDS20250535,Lakshit Dhillon,lakshit.dhillon21@college.edu,+91-9774509349,Male,AI & Data Science,B.Tech. AI & Data Science,3,5,B,2025-2026,7.98,78.77,33.47,17.27,19.84,38.63,56.28,72,46,63.89,6.33,68.32,1.1,4,67.59,79.14,A,Pass,Low
536,CSE20240536,Dhruv Zachariah,dhruv.zachariah79@college.edu,+91-9980383293,Male,Computer Science Engineering,B.E. Computer Science Engineering,3,5,B,2024-2025,5.64,53.56,25.1,13.72,11.7,22.26,43.95,81,32,39.51,6.32,53.29,2.18,0,35.52,55.53,B,Pass,High
537,ME20240537,Jeremiah Ghosh,jeremiah.ghosh38@college.edu,+91-7473976901,Male,Mechanical Engineering,B.E. Mechanical Engineering,3,6,A,2024-2025,7.88,80.85,35.07,15.94,8.69,39.26,64.63,80,50,62.5,5.04,72.4,2.53,2,72.61,78.05,A,Pass,Low
538,ECE20250538,Christopher Bal,christopher.bal7@college.edu,+91-9297681898,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,6,A,2025-2026,7.08,67.46,28.73,17.54,10.88,38.07,50.79,60,37,61.67,5.2,63.32,2.88,1,66.37,69.56,B+,Pass,Low
539,AIDS20250539,Ekaja Aurora,ekaja.aurora30@college.edu,+91-7387393108,Female,AI & Data Science,B.Tech. AI & Data Science,3,6,A,2025-2026,5.61,54.42,16.94,6.24,4.0,20.41,26.36,64,24,37.5,4.09,24.03,2.25,0,46.43,35.47,F,Fail,High
540,CSE20250540,Rachita Khanna,rachita.khanna60@college.edu,+91-9993312165,Female,Computer Science Engineering,B.E. Computer Science Engineering,3,6,B,2025-2026,5.33,52.39,30.06,16.59,16.52,27.6,34.72,85,54,63.53,5.61,55.03,2.14,0,53.47,59.93,B,Pass,Medium
541,AIDS20250541,Neel Babu,neel.babu61@college.edu,+91-7779982123,Male,AI & Data Science,B.Tech. AI & Data Science,2,3,B,2025-2026,5.82,60.42,23.81,14.29,8.03,33.86,57.12,66,42,63.64,4.03,69.15,1.83,4,34.02,65.22,B+,Pass,Medium
542,IT20240542,Gagan Lanka,gagan.lanka57@college.edu,+91-8061553531,Male,Information Technology,B.E. Information Technology,4,7,A,2024-2025,4.51,45.03,17.87,17.44,7.44,28.71,50.39,83,34,40.96,5.49,54.04,2.64,5,39.75,57.5,B,Pass,High
543,CSE20240543,Atharv Date,atharv.date88@college.edu,+91-8340499510,Male,Computer Science Engineering,B.E. Computer Science Engineering,4,7,C,2024-2025,7.23,72.85,30.39,22.56,16.21,49.08,55.2,89,71,79.78,6.32,82.08,3.2,2,82.82,82.63,A+,Pass,Low
544,ME20250544,Ucchal Vora,ucchal.vora26@college.edu,+91-8548020689,Female,Mechanical Engineering,B.E. Mechanical Engineering,1,1,B,2025-2026,8.85,88.85,35.69,18.5,9.36,50.0,49.34,88,68,77.27,4.27,77.91,3.11,0,76.35,77.95,A,Pass,Low
545,ME20250545,Dakshesh Bhatt,dakshesh.bhatt22@college.edu,+91-8185840646,Male,Mechanical Engineering,B.E. Mechanical Engineering,2,3,A,2025-2026,6.94,68.6,27.51,16.72,10.97,37.45,48.33,78,52,66.67,5.43,64.45,2.63,1,67.28,67.21,B+,Pass,Low
546,CE20250546,Vyanjana Sen,vyanjana.sen20@college.edu,+91-8595145112,Female,Civil Engineering,B.E. Civil Engineering,2,3,A,2025-2026,6.81,64.55,22.82,19.93,14.17,39.59,57.53,84,57,67.86,6.69,53.11,2.63,0,43.59,73.11,A,Pass,Low
547,CSE20250547,Radhika Varghese,radhika.varghese98@college.edu,+91-9684922912,Female,Computer Science Engineering,B.E. Computer Science Engineering,4,7,C,2025-2026,4.11,45.41,23.83,9.22,8.9,13.75,30.06,61,30,49.18,3.17,31.32,0.27,0,42.24,40.95,C,Pass,High
548,ME20250548,Chatura Seth,chatura.seth72@college.edu,+91-9768733387,Male,Mechanical Engineering,B.E. Mechanical Engineering,2,3,A,2025-2026,6.04,57.51,19.76,20.21,13.81,26.89,50.61,84,49,58.33,5.76,60.1,3.37,2,47.95,61.93,B+,Pass,Medium
549,ECE20250549,Zayan Kant,zayan.kant18@college.edu,+91-8076732154,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,2,3,C,2025-2026,6.27,63.31,31.72,19.05,13.99,19.33,45.21,88,61,69.32,4.19,95.94,2.81,0,77.94,61.24,B+,Pass,Low
550,ME20250550,Anthony Verma,anthony.verma24@college.edu,+91-9334832473,Male,Mechanical Engineering,B.E. Mechanical Engineering,4,8,C,2025-2026,10.0,100.0,37.51,25.0,20.0,44.12,75.0,71,71,100.0,8.32,96.97,3.39,2,91.38,95.81,O,Pass,Low
551,ECE20240551,Matthew Shanker,matthew.shanker34@college.edu,+91-9326179846,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,5,A,2024-2025,6.51,62.63,24.94,18.71,15.96,34.98,52.72,71,45,63.38,5.22,79.73,2.11,2,73.01,70.03,A,Pass,Low
552,CE20250552,Amruta Bhat,amruta.bhat31@college.edu,+91-8377370646,Female,Civil Engineering,B.E. Civil Engineering,4,7,A,2025-2026,6.96,74.86,29.11,22.29,13.28,32.72,43.21,83,72,86.75,4.68,72.49,3.08,0,59.06,66.64,B+,Pass,Low
553,EEE20250553,Wakeeta Ratti,wakeeta.ratti20@college.edu,+91-9632983517,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,7,C,2025-2026,6.47,67.07,19.92,14.43,11.58,17.32,43.89,69,39,56.52,3.99,54.88,3.24,2,62.18,50.66,B,Pass,Medium
554,ME20240554,Tanay Chokshi,tanay.chokshi17@college.edu,+91-7767247805,Male,Mechanical Engineering,B.E. Mechanical Engineering,3,5,A,2024-2025,7.41,76.3,31.74,24.28,13.46,45.29,56.42,87,59,67.82,5.73,100.0,3.21,0,78.2,81.29,A+,Pass,Low
555,AIDS20240555,Xalak Sawhney,xalak.sawhney50@college.edu,+91-9825750278,Female,AI & Data Science,B.Tech. AI & Data Science,4,7,A,2024-2025,3.64,37.96,11.19,13.16,11.77,21.23,32.2,75,37,49.33,2.72,44.88,2.14,1,51.53,42.39,C,Pass,High
556,ME20240556,Bina Buch,bina.buch10@college.edu,+91-7056204397,Female,Mechanical Engineering,B.E. Mechanical Engineering,3,5,B,2024-2025,7.2,70.58,21.77,19.5,17.69,35.37,48.39,89,49,55.06,4.49,69.33,1.95,5,82.06,67.8,B+,Pass,Medium
557,ME20240557,Naveen Divan,naveen.divan96@college.edu,+91-8786505393,Male,Mechanical Engineering,B.E. Mechanical Engineering,4,7,B,2024-2025,6.19,58.91,26.09,16.58,10.1,22.77,42.99,86,46,53.49,4.21,65.38,2.47,2,72.11,56.18,B,Pass,Medium
558,ME20240558,Bhavini Date,bhavini.date39@college.edu,+91-7334729865,Female,Mechanical Engineering,B.E. Mechanical Engineering,1,2,C,2024-2025,5.88,57.75,25.91,18.67,14.84,30.97,46.1,90,64,71.11,6.63,76.09,1.24,1,52.47,64.84,B+,Pass,Low
559,EEE20240559,Laksh Nair,laksh.nair25@college.edu,+91-7829441721,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,1,C,2024-2025,3.7,41.02,13.18,11.97,10.23,19.11,23.47,76,28,36.84,2.24,26.71,1.36,2,46.44,37.0,F,Fail,High
560,EEE20240560,Sai Wali,sai.wali74@college.edu,+91-8537440949,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,2,4,C,2024-2025,9.26,92.92,32.11,19.48,14.3,37.96,68.43,81,65,80.25,6.13,73.96,2.24,2,94.04,81.91,A+,Pass,Low
561,ME20240561,Manan Setty,manan.setty65@college.edu,+91-8449606729,Male,Mechanical Engineering,B.E. Mechanical Engineering,4,7,A,2024-2025,5.18,54.44,21.31,15.62,14.48,26.12,48.47,81,37,45.68,6.93,71.36,2.74,1,57.72,59.83,B,Pass,Medium
562,EEE20250562,Yashawini Sani,yashawini.sani53@college.edu,+91-9719748617,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,8,B,2025-2026,6.41,62.38,29.37,16.37,11.15,45.12,54.71,73,40,54.79,7.88,65.28,2.88,4,48.88,74.9,A,Pass,Medium
563,IT20250563,Chandran Contractor,chandran.contractor58@college.edu,+91-8921996951,Male,Information Technology,B.E. Information Technology,2,3,B,2025-2026,6.65,66.33,23.17,16.02,13.55,38.33,50.83,90,62,68.89,5.53,61.38,3.02,2,61.85,67.65,B+,Pass,Low
564,ME20240564,Hritik Sani,hritik.sani39@college.edu,+91-7028212913,Male,Mechanical Engineering,B.E. Mechanical Engineering,1,2,C,2024-2025,5.47,59.36,23.64,14.09,6.54,23.09,52.99,69,32,46.38,5.74,49.12,2.4,5,56.57,57.0,B,Pass,High
565,CSE20250565,Varsha Kari,varsha.kari66@college.edu,+91-9389389445,Female,Computer Science Engineering,B.E. Computer Science Engineering,3,5,C,2025-2026,8.58,85.66,27.53,25.0,14.37,29.18,61.51,78,66,84.62,6.12,87.62,3.0,5,92.43,74.25,A,Pass,Low
566,CSE20250566,Samuel Nori,samuel.nori34@college.edu,+91-8576609019,Male,Computer Science Engineering,B.E. Computer Science Engineering,1,1,B,2025-2026,7.95,77.46,31.89,20.12,14.22,35.95,54.9,88,79,89.77,2.97,73.82,2.04,3,83.95,74.7,A,Pass,Low
567,CSE20250567,Vasana Rastogi,vasana.rastogi28@college.edu,+91-7331578205,Female,Computer Science Engineering,B.E. Computer Science Engineering,3,6,A,2025-2026,7.03,69.22,24.62,14.34,10.62,27.54,54.01,83,56,67.47,4.0,51.86,2.2,2,48.44,62.33,B+,Pass,Low
568,ECE20240568,Triya Chandran,triya.chandran39@college.edu,+91-7160509766,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,2,4,C,2024-2025,6.6,66.83,35.19,19.47,10.87,31.55,44.6,83,63,75.9,5.04,55.41,2.02,4,39.75,67.4,B+,Pass,Low
569,ECE20250569,Nirja Sane,nirja.sane56@college.edu,+91-8788947133,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,1,1,B,2025-2026,9.75,97.2,28.04,17.84,14.35,42.43,54.84,89,70,78.65,4.84,80.9,4.15,4,55.88,75.14,A,Pass,Low
570,CE20250570,Naksh Kumer,naksh.kumer68@college.edu,+91-7176876436,Male,Civil Engineering,B.E. Civil Engineering,2,3,C,2025-2026,7.27,74.99,30.89,20.23,11.03,45.0,39.17,70,58,82.86,5.14,74.58,2.66,3,67.3,69.83,B+,Pass,Low
